a'sam,beersheba
abbirim,acre
abu abdun,beersheba
abu ammar,beersheba
abu amre,beersheba
abu ghosh,jerusalem
abu juwei'id,beersheba
abu qureinat,beersheba
abu qureinat,beersheba
abu rubei'a,beersheba
abu ruqayyeq,beersheba
abu sinan,acre
abu sureihan,beersheba
adamit,acre
adanim,petah tikva
adderet,jerusalem
addirim,afula
adi,acre
adora,jerusalem
afeinish,beersheba
afeq,acre
afiq,northern district
afiqim,tiberias
afula,afula
agur,jerusalem
ahawa,ashkelon
ahi'ezer,ramla
ahihud,acre
ahisamakh,ramla
ahituv,netanya
ahuzzam,ashkelon
akko,acre
al-aryan,hadera
ale zahav,netanya
alfe menashe,netanya
allon hagalil,afula
allon shevut,jerusalem
allone abba,afula
allone habashan,northern district
allone yizhaq,hadera
allonim,afula
alma,northern district
almagor,tiberias
almog,tiberias
almon,jerusalem
alumim,beersheba
alumma,ashkelon
alummot,tiberias
amazya,ashkelon
amir,northern district
amirim,northern district
ammi'ad,northern district
ammi'oz,beersheba
amminadav,jerusalem
ammiqam,hadera
amnun,tiberias
amqa,acre
amuqqa,northern district
ani'am,northern district
ar'ara,hadera
ar'ara-banegev,beersheba
arad,beersheba
aramsha,acre
arbel,tiberias
argaman,tiberias
ari'el,netanya
arrab al naim,acre
arrabe,acre
arsuf,netanya
arugot,ashkelon
asad,beersheba
asefar,jerusalem
aseret,rehovot
ashalim,beersheba
ashdod,ashkelon
ashdot ya'aqov(ihud),tiberias
ashdot ya'aqov(me'uh,tiberias
asherat,acre
ashqelon,ashkelon
atawne,beersheba
ateret,jerusalem
atlit,hadera
atrash,beersheba
atsmon-segev,acre
avdon,acre
avenat,tiberias
avi'el,hadera
avi'ezer,jerusalem
avigedor,ashkelon
avihayil,netanya
avital,afula
avivim,northern district
avne etan,northern district
avne hefez,netanya
avshalom,beersheba
avtalyon,acre
ayanot,rehovot
ayyelet hashahar,northern district
azarya,ramla
azor,holon
azri'el,netanya
azriqam,ashkelon
bahan,netanya
balfuriyya,afula
bar giyyora,jerusalem
bar yohay,northern district
bar'am,northern district
baraq,afula
bareqet,petah tikva
barqan,netanya
barqay,hadera
basma,hadera
basmat tab'un,afula
bat ayin,jerusalem
bat hadar,ashkelon
bat hazor,ashkelon
bat hefer,netanya
bat hen,netanya
bat shelomo,hadera
bat yam,holon
bazra,netanya
be'er ora,beersheba
be'er sheva,beersheba
be'er tuveya,ashkelon
be'er ya'aqov,ramla
be'eri,beersheba
be'erot yizhaq,petah tikva
be'erotayim,netanya
beit jann,acre
ben ammi,acre
ben shemen (moshav),ramla
ben shemen(k.no'ar),ramla
ben zakkay,rehovot
benaya,rehovot
bene atarot,petah tikva
bene ayish,rehovot
bene beraq,ramat gan
bene darom,rehovot
bene deror,netanya
bene nezarim,beersheba
bene re'em,rehovot
bene yehuda,northern district
bene ziyyon,netanya
beqa'ot,tiberias
beqoa,jerusalem
berakha,hadera
berekhya,ashkelon
beror hayil,ashkelon
berosh,beersheba
bet alfa,afula
bet arif,ramla
bet arye,jerusalem
bet berl,petah tikva
bet dagan,ramla
bet el,jerusalem
bet el'azari,rehovot
bet ezra,ashkelon
bet gamli'el,rehovot
bet guvrin,ashkelon
bet haarava,tiberias
bet haemeq,acre
bet hagaddi,beersheba
bet halevi,netanya
bet hanan,rehovot
bet hananya,hadera
bet hashitta,afula
bet hashmonay,ramla
bet herut,netanya
bet hillel,northern district
bet hilqiyya,rehovot
bet horon,jerusalem
bet lehem hagelilit,afula
bet me'ir,jerusalem
bet nehemya,ramla
bet neqofa,jerusalem
bet nir,ashkelon
bet oren,hadera
bet oved,rehovot
bet qama,beersheba
bet qeshet,tiberias
bet rabban,rehovot
bet rimmon,afula
bet she'an,afula
bet she'arim,afula
bet shemesh,jerusalem
bet shiqma,ashkelon
bet uzzi'el,ramla
bet yannay,netanya
bet yehoshua,netanya
bet yizhaq-sh. hefer,netanya
bet yosef,afula
bet zayit,jerusalem
bet zeid,afula
bet zera,tiberias
bet zevi,hadera
betar illit,jerusalem
bezet,acre
bi ne,acre
binyamina,hadera
bir el-maksur,acre
biriyya,northern district
bitan aharon,netanya
bitha,beersheba
bizzaron,ashkelon
bne dkalim,ashkelon
bu'eine-nujeidat,nazareth
buq'ata,northern district
burgeta,netanya
bustan hagalil,acre
dabburye,afula
dafna,northern district
dahi,afula
daliyat al-karmel,haifa
daliyya,afula
dalton,northern district
dan,northern district
daverat,afula
deganya alef,tiberias
deganya bet,tiberias
deir al-asad,acre
deir hanna,acre
deir rafat,jerusalem
demeide,acre
deqel,beersheba
devira,beersheba
devora,afula
dimona,beersheba
dishon,northern district
dolev,jerusalem
dor,hadera
dorot,ashkelon
dovev,northern district
efrata,jerusalem
eilabun,tiberias
ein al-asad,acre
ein mahel,nazareth
ein naqquba,jerusalem
ein qiniyye,northern district
ein rafa,jerusalem
el'azar,jerusalem
el-rom,northern district
elat,beersheba
eli,hadera
eli al,northern district
elifaz,beersheba
elifelet,northern district
elishama,petah tikva
elon,acre
elon more,hadera
elot,beersheba
elqana,netanya
elqosh,acre
elyakhin,netanya
elyaqim,afula
elyashiv,netanya
emunim,ashkelon
en ayyala,hadera
en dor,afula
en gedi,beersheba
en gev,tiberias
en habesor,beersheba
en haemeq,afula
en hahoresh,netanya
en hamifraz,acre
en hanaziv,afula
en harod (ihud),afula
en harod(me'uhad),afula
en hashelosha,beersheba
en hashofet,afula
en hazeva,beersheba
en hod,hadera
en iron,hadera
en karem-b.s.haqla'i,jerusalem
en karmel,hadera
en sarid,netanya
en shemer,hadera
en tamar,beersheba
en wered,netanya
en ya'aqov,acre
en yahav,beersheba
en ziwan,northern district
en zurim,ashkelon
enat,petah tikva
enav,netanya
erez,ashkelon
eshbol,beersheba
eshel hanasi,beersheba
eshhar,acre
eshkolot,jerusalem
eshta'ol,jerusalem
etan,ashkelon
etanim,jerusalem
etgar,acre
even menahem,acre
even sappir,jerusalem
even shemu'el,ashkelon
even yehuda,netanya
even yizhaq(gal'ed),afula
evron,acre
eyal,petah tikva
ez efrayim,netanya
ezer,ashkelon
ezuz,beersheba
fassuta,acre
fureidis,hadera
ga'ash,netanya
ga'ton,acre
gadish,afula
gadot,northern district
gal'on,ashkelon
gan hadarom,rehovot
gan hashomeron,hadera
gan hayyim,petah tikva
gan ner,afula
gan shelomo,rehovot
gan shemu'el,hadera
gan soreq,rehovot
gan yavne,rehovot
gan yoshiyya,netanya
ganne am,petah tikva
ganne hadar,ramla
ganne tiqwa,petah tikva
ganne yohanan,rehovot
gannot,ramla
gannot hadar,netanya
gat rimmon,petah tikva
gat(qibbuz),ashkelon
gazit,afula
ge'a,ashkelon
ge'alya,rehovot
ge'ule teman,netanya
ge'ulim,netanya
gedera,rehovot
gefen,jerusalem
gelil yam,tel aviv
gerofit,beersheba
gesher,tiberias
gesher haziw,acre
geshur,northern district
geva,afula
geva karmel,hadera
geva binyamin,jerusalem
gevar'am,ashkelon
gevat,afula
gevim,ashkelon
gevulot,beersheba
gezer,ramla
ghajar,northern district
gibbeton,rehovot
gid'ona,afula
gilat,beersheba
gilgal,tiberias
gilon,acre
gimzo,ramla
ginnaton,ramla
ginnegar,afula
ginnosar,tiberias
gitta,acre
gittit,tiberias
giv'at avni,tiberias
giv'at brenner,rehovot
giv'at ela,afula
giv'at hashelosha,petah tikva
giv'at hayyim (ihud),netanya
giv'at hayyim(me'uha,netanya
giv'at hen,petah tikva
giv'at koah,petah tikva
giv'at nili,hadera
giv'at oz,afula
giv'at shappira,netanya
giv'at shemesh,jerusalem
giv'at shemu'el,petah tikva
giv'at ye'arim,jerusalem
giv'at yesha'yahu,jerusalem
giv'at yo'av,northern district
giv'at ze'ev,jerusalem
giv'atayim,ramat gan
giv'ati,ashkelon
giv'olim,beersheba
giv'on hahadasha,jerusalem
gizo,jerusalem
gonen,northern district
goren,acre
gornot hagalil,acre
habonim,hadera
had-nes,northern district
hadar am,netanya
hadera,hadera
hadid,ramla
hafez hayyim,rehovot
haggai,jerusalem
hagor,petah tikva
hagosherim,northern district
hahoterim,hadera
haifa,haifa
hallamish,jerusalem
haluz,acre
hama'pil,netanya
hamadya,afula
hamam,tiberias
hamra,tiberias
hanita,acre
hannaton,afula
hanni'el,netanya
haogen,netanya
haon,tiberias
har adar,jerusalem
har amasa,beersheba
har gillo,jerusalem
har'el,jerusalem
hararit,acre
harashim,acre
harduf,afula
harish,hadera
haruzim,netanya
hashmona'im,jerusalem
hasolelim,afula
haspin,northern district
havazzelet hasharon,netanya
hawashla,beersheba
hayogev,afula
hazar be'erotayim,netanya
hazav,ashkelon
hazerim,beersheba
hazeva,beersheba
hazon,tiberias
hazor hagelilit,northern district
hazor-ashdod,ashkelon
hazore'im,tiberias
hazorea,afula
hazrot hulda,ramla
hazrot koah,petah tikva
hefzi-bah,afula
helez,ashkelon
hemed,ramla
herev le'et,netanya
hermesh,afula
herut,netanya
herzeliyya,tel aviv
hever,afula
hibbat ziyyon,netanya
hilla,acre
hinnanit,afula
hod hasharon,petah tikva
hodayot,tiberias
hodiyya,ashkelon
hofit,netanya
hogla,netanya
holit,beersheba
holon,holon
horeshim,petah tikva
hosen,acre
hosha'aya,afula
hujeirat (dahra),acre
hulata,northern district
hulda,ramla
huqoq,tiberias
hura,beersheba
hurfeish,acre
hussniyya,acre
huzayyel,beersheba
i'billin,acre
ibbim,ashkelon
ibtin,haifa
iddan,beersheba
iksal,afula
ilaniyya,tiberias
ilut,nazareth
immanu'el,netanya
ir ovot,beersheba
isifya,haifa
itamar,hadera
jaat,hadera
jaljulye,petah tikva
jerusalem,jerusalem
jish(gush halav),northern district
jisr az-zarqa,hadera
judeide-maker,acre
julis,acre
junnabib,beersheba
ka'abiyye-tabbash-ha,nazareth
kabri,acre
kabul,acre
kadoorie,tiberias
kafar bara,petah tikva
kafar kama,tiberias
kafar kanna,nazareth
kafar manda,acre
kafar misr,nazareth
kafar qara,hadera
kafar qasem,petah tikva
kafar yasif,acre
kahal,northern district
kallanit,tiberias
kammon,acre
kanaf,northern district
kannot,ashkelon
kaokab abu al-hija,acre
kare deshe,tiberias
karkom,tiberias
karme yosef,ramla
karme zur,jerusalem
karmel,jerusalem
karmi'el,acre
karmiyya,ashkelon
kefar adummim,jerusalem
kefar ahim,ashkelon
kefar aviv,rehovot
kefar avoda,netanya
kefar azza,ashkelon
kefar barukh,afula
kefar bialik,haifa
kefar bilu,rehovot
kefar bin nun,ramla
kefar blum,northern district
kefar daniyyel,ramla
kefar ezyon,jerusalem
kefar gallim,haifa
kefar gid'on,afula
kefar gil'adi,northern district
kefar glikson,hadera
kefar habad,ramla
kefar hahoresh,afula
kefar hamakkabi,haifa
kefar hanagid,rehovot
kefar hananya,northern district
kefar hanasi,northern district
kefar hano'ar hadati,haifa
kefar haoranim,jerusalem
kefar harif,ashkelon
kefar haro'e,netanya
kefar haruv,northern district
kefar hasidim alef,haifa
kefar hasidim bet,haifa
kefar hayyim,netanya
kefar hess,netanya
kefar hittim,tiberias
kefar hoshen,northern district
kefar kish,tiberias
kefar malal,petah tikva
kefar masaryk,acre
kefar maymon,beersheba
kefar menahem,ashkelon
kefar monash,netanya
kefar mordekhay,rehovot
kefar netter,netanya
kefar pines,hadera
kefar rosh haniqra,acre
kefar rozenwald(zar.,acre
kefar ruppin,afula
kefar rut,ramla
kefar sava,petah tikva
kefar shammay,northern district
kefar shemaryahu,tel aviv
kefar shemu'el,ramla
kefar silver,ashkelon
kefar sirkin,petah tikva
kefar szold,northern district
kefar tappuah,netanya
kefar tavor,tiberias
kefar truman,ramla
kefar uriyya,jerusalem
kefar vitkin,netanya
kefar warburg,ashkelon
kefar weradim,acre
kefar ya'bez,netanya
kefar yehezqel,afula
kefar yehoshua,afula
kefar yona,netanya
kefar zetim,tiberias
kefar zoharim,jerusalem
kelil,acre
kemehin,beersheba
keramim,beersheba
kerem ben shemen,ramla
kerem ben zimra,northern district
kerem maharal,hadera
kerem shalom,beersheba
kerem yavne(yeshiva),rehovot
kesalon,jerusalem
khawaled,nazareth
kinneret(moshava),tiberias
kinneret(qevuza),tiberias
kishor,acre
